parent	child	length
09113 Global maps only	K13997	1.0
09100 Metabolism	09111 Xenobiotics biodegradation and metabolism	1.0
09111 Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation	1.0
00633 Nitrotoluene degradation	K00169	1.0
00633 Nitrotoluene degradation	K00170	1.0
00633 Nitrotoluene degradation	K00172	1.0
00633 Nitrotoluene degradation	K00189	1.0
00633 Nitrotoluene degradation	K00171	1.0
00720 Carbon fixation pathways in prokaryotes	K03737	1.0
00720 Carbon fixation pathways in prokaryotes	K00174	1.0
00720 Carbon fixation pathways in prokaryotes	K00175	1.0
04147 Exosome	K00016	1.0
00010 Glycolysis / Gluconeogenesis	K01568	1.0
09167 Endocrine and metabolic disease	04936 Alcoholic liver disease	1.0
04936 Alcoholic liver disease	K13951	1.0
04936 Alcoholic liver disease	K13980	1.0
04936 Alcoholic liver disease	K00121	1.0
04936 Alcoholic liver disease	K13952	1.0
09160 Human Diseases	09174 Infectious disease: parasitic	1.0
09174 Infectious disease: parasitic	05146 Amoebiasis	1.0
05146 Amoebiasis	K04072	1.0
09111 Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450	1.0
00982 Drug metabolism - cytochrome P450	K13953	1.0
09111 Xenobiotics biodegradation and metabolism	00626 Naphthalene degradation	1.0
00626 Naphthalene degradation	K13954	1.0
09105 Amino acid metabolism	00350 Tyrosine metabolism	1.0
00350 Tyrosine metabolism	K18857	1.0
00982 Drug metabolism - cytochrome P450	K00001	1.0
04147 Exosome	K00002	1.0
09100 Metabolism	09109 Metabolism of terpenoids and polyketides	1.0
09109 Metabolism of terpenoids and polyketides	00281 Geraniol degradation	1.0
00281 Geraniol degradation	K12957	1.0
09100 Metabolism	09103 Lipid metabolism	1.0
09103 Lipid metabolism	00561 Glycerolipid metabolism	1.0
00561 Glycerolipid metabolism	K13979	1.0
09111 Xenobiotics biodegradation and metabolism	00625 Chloroalkane and chloroalkene degradation	1.0
00625 Chloroalkane and chloroalkene degradation	K14028	1.0
00625 Chloroalkane and chloroalkene degradation	K14029	1.0
00625 Chloroalkane and chloroalkene degradation	K00114	1.0
00620 Pyruvate metabolism	K04022	1.0
00620 Pyruvate metabolism	K22473	1.0
00620 Pyruvate metabolism	K22474	1.0
04936 Alcoholic liver disease	K00128	1.0
04936 Alcoholic liver disease	K14085	1.0
04936 Alcoholic liver disease	K00149	1.0
00982 Drug metabolism - cytochrome P450	K00129	1.0
00620 Pyruvate metabolism	K00138	1.0
09180 Brite Hierarchies	09181 Protein families: metabolism	1.0
09181 Protein families: metabolism	01004 Lipid biosynthesis proteins	1.0
01004 Lipid biosynthesis proteins	K01895	1.0
01004 Lipid biosynthesis proteins	K01913	1.0
01004 Lipid biosynthesis proteins	K01905	1.0
01004 Lipid biosynthesis proteins	K22224	1.0
01004 Lipid biosynthesis proteins	K24012	1.0
09101 Carbohydrate metabolism	00052 Galactose metabolism	1.0
00052 Galactose metabolism	K01785	1.0
00010 Glycolysis / Gluconeogenesis	K01085	1.0
00010 Glycolysis / Gluconeogenesis	K20866	1.0
09110 Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis	1.0
00521 Streptomycin biosynthesis	K01835	1.0
00521 Streptomycin biosynthesis	K15778	1.0
09100 Metabolism	09104 Nucleotide metabolism	1.0
09104 Nucleotide metabolism	00230 Purine metabolism	1.0
00230 Purine metabolism	K15779	1.0
09167 Endocrine and metabolic disease	04931 Insulin resistance	1.0
04931 Insulin resistance	K01084	1.0
00520 Amino sugar and nucleotide sugar metabolism	K00886	1.0
00010 Glycolysis / Gluconeogenesis	K08074	1.0
00010 Glycolysis / Gluconeogenesis	K01792	1.0
00260 Glycine, serine and threonine metabolism	K01837	1.0
09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism	1.0
00562 Inositol phosphate metabolism	K03103	1.0
00010 Glycolysis / Gluconeogenesis	K11389	1.0
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway	1.0
00030 Pentose phosphate pathway	K00131	1.0
00030 Pentose phosphate pathway	K18978	1.0
04931 Insulin resistance	K01596	1.0
00710 Carbon fixation in photosynthetic organisms	K01610	1.0
09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism	1.0
00500 Starch and sucrose metabolism	K01222	1.0
00500 Starch and sucrose metabolism	K01223	1.0
09183 Protein families: signaling and cellular processes	02000 Transporters	1.0
02000 Transporters	K02777	1.0
02000 Transporters	K02779	1.0
02000 Transporters	K02791	1.0
02000 Transporters	K20118	1.0
02000 Transporters	K02753	1.0
09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism	1.0
00630 Glyoxylate and dicarboxylate metabolism	K01647	1.0
04147 Exosome	K01648	1.0
00720 Carbon fixation pathways in prokaryotes	K15230	1.0
00720 Carbon fixation pathways in prokaryotes	K15231	1.0
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle)	1.0
00020 Citrate cycle (TCA cycle)	K05942	1.0
00720 Carbon fixation pathways in prokaryotes	K01681	1.0
00720 Carbon fixation pathways in prokaryotes	K01682	1.0
09160 Human Diseases	09161 Cancer: overview	1.0
09161 Cancer: overview	05230 Central carbon metabolism in cancer	1.0
05230 Central carbon metabolism in cancer	K00031	1.0
00020 Citrate cycle (TCA cycle)	K00030	1.0
09105 Amino acid metabolism	00300 Lysine biosynthesis	1.0
00300 Lysine biosynthesis	K17753	1.0
00020 Citrate cycle (TCA cycle)	K00164	1.0
09105 Amino acid metabolism	00380 Tryptophan metabolism	1.0
00380 Tryptophan metabolism	K00658	1.0
00630 Glyoxylate and dicarboxylate metabolism	K01616	1.0
00720 Carbon fixation pathways in prokaryotes	K00177	1.0
00720 Carbon fixation pathways in prokaryotes	K00176	1.0
00720 Carbon fixation pathways in prokaryotes	K01902	1.0
00720 Carbon fixation pathways in prokaryotes	K01903	1.0
09101 Carbohydrate metabolism	00640 Propanoate metabolism	1.0
00640 Propanoate metabolism	K01899	1.0
04147 Exosome	K01900	1.0
09101 Carbohydrate metabolism	00650 Butanoate metabolism	1.0
00650 Butanoate metabolism	K18118	1.0
09167 Endocrine and metabolic disease	04932 Non-alcoholic fatty liver disease	1.0
04932 Non-alcoholic fatty liver disease	K00234	1.0
04932 Non-alcoholic fatty liver disease	K00235	1.0
04932 Non-alcoholic fatty liver disease	K00236	1.0
04932 Non-alcoholic fatty liver disease	K00237	1.0
09102 Energy metabolism	00190 Oxidative phosphorylation	1.0
00190 Oxidative phosphorylation	K25801	1.0
09160 Human Diseases	09171 Infectious disease: bacterial	1.0
09171 Infectious disease: bacterial	05134 Legionellosis	1.0
05134 Legionellosis	K00239	1.0
00720 Carbon fixation pathways in prokaryotes	K00240	1.0
00720 Carbon fixation pathways in prokaryotes	K00241	1.0
00720 Carbon fixation pathways in prokaryotes	K00242	1.0
00720 Carbon fixation pathways in prokaryotes	K18859	1.0
00720 Carbon fixation pathways in prokaryotes	K18860	1.0
ko00001	09130 Environmental Information Processing	1.0
09130 Environmental Information Processing	09132 Signal transduction	1.0
09132 Signal transduction	02020 Two-component system	1.0
02020 Two-component system	K00244	1.0
02020 Two-component system	K00245	1.0
02020 Two-component system	K00246	1.0
02020 Two-component system	K00247	1.0
00720 Carbon fixation pathways in prokaryotes	K00233	1.0
00720 Carbon fixation pathways in prokaryotes	K25995	1.0
00720 Carbon fixation pathways in prokaryotes	K25996	1.0
00720 Carbon fixation pathways in prokaryotes	K01676	1.0
00720 Carbon fixation pathways in prokaryotes	K01677	1.0
00720 Carbon fixation pathways in prokaryotes	K01678	1.0
09167 Endocrine and metabolic disease	04934 Cushing syndrome	1.0
04934 Cushing syndrome	K01679	1.0
00720 Carbon fixation pathways in prokaryotes	K01675	1.0
00720 Carbon fixation pathways in prokaryotes	K01774	1.0
ko00001	09150 Organismal Systems	1.0
09150 Organismal Systems	09155 Excretory system	1.0
09155 Excretory system	04964 Proximal tubule bicarbonate reclamation	1.0
04964 Proximal tubule bicarbonate reclamation	K00025	1.0
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism	1.0
00270 Cysteine and methionine metabolism	K00026	1.0
00270 Cysteine and methionine metabolism	K00024	1.0
00620 Pyruvate metabolism	K00116	1.0
00720 Carbon fixation pathways in prokaryotes	K01958	1.0
00720 Carbon fixation pathways in prokaryotes	K01959	1.0
00720 Carbon fixation pathways in prokaryotes	K01960	1.0
04147 Exosome	K00036	1.0
00030 Pentose phosphate pathway	K19243	1.0
00030 Pentose phosphate pathway	K01057	1.0
00030 Pentose phosphate pathway	K07404	1.0
00030 Pentose phosphate pathway	K13937	1.0
09100 Metabolism	09106 Metabolism of other amino acids	1.0
09106 Metabolism of other amino acids	00480 Glutathione metabolism	1.0
00480 Glutathione metabolism	K00033	1.0
00710 Carbon fixation in photosynthetic organisms	K01783	1.0
09109 Metabolism of terpenoids and polyketides	01051 Biosynthesis of ansamycins	1.0
01051 Biosynthesis of ansamycins	K00615	1.0
00030 Pentose phosphate pathway	K00616	1.0
00710 Carbon fixation in photosynthetic organisms	K01807	1.0
00710 Carbon fixation in photosynthetic organisms	K01808	1.0
00680 Methane metabolism	K13812	1.0
00680 Methane metabolism	K08093	1.0
00680 Methane metabolism	K08094	1.0
00680 Methane metabolism	K13831	1.0
00710 Carbon fixation in photosynthetic organisms	K01621	1.0
00030 Pentose phosphate pathway	K01619	1.0
00030 Pentose phosphate pathway	K00852	1.0
00230 Purine metabolism	K01839	1.0
00230 Purine metabolism	K22199	1.0
00030 Pentose phosphate pathway	K05774	1.0
00230 Purine metabolism	K00948	1.0
00030 Pentose phosphate pathway	K01690	1.0
00630 Glyoxylate and dicarboxylate metabolism	K01625	1.0
00030 Pentose phosphate pathway	K17463	1.0
00052 Galactose metabolism	K11395	1.0
00030 Pentose phosphate pathway	K00034	1.0
00030 Pentose phosphate pathway	K22969	1.0
00030 Pentose phosphate pathway	K21840	1.0
00052 Galactose metabolism	K18124	1.0
00052 Galactose metabolism	K18125	1.0
00030 Pentose phosphate pathway	K00115	1.0
00030 Pentose phosphate pathway	K19813	1.0
00030 Pentose phosphate pathway	K00117	1.0
04147 Exosome	K01053	1.0
00030 Pentose phosphate pathway	K06151	1.0
00030 Pentose phosphate pathway	K06152	1.0
00260 Glycine, serine and threonine metabolism	K00090	1.0
00030 Pentose phosphate pathway	K22229	1.0
00030 Pentose phosphate pathway	K11441	1.0
00480 Glutathione metabolism	K00032	1.0
00030 Pentose phosphate pathway	K00851	1.0
00030 Pentose phosphate pathway	K25031	1.0
00052 Galactose metabolism	K05308	1.0
00030 Pentose phosphate pathway	K00874	1.0
00052 Galactose metabolism	K18126	1.0
00052 Galactose metabolism	K18127	1.0
00030 Pentose phosphate pathway	K03738	1.0
00030 Pentose phosphate pathway	K18020	1.0
00030 Pentose phosphate pathway	K18021	1.0
00030 Pentose phosphate pathway	K18022	1.0
00030 Pentose phosphate pathway	K18128	1.0
00260 Glycine, serine and threonine metabolism	K11529	1.0
00030 Pentose phosphate pathway	K22345	1.0
02000 Transporters	K17464	1.0
02000 Transporters	K17465	1.0
02000 Transporters	K17466	1.0
02000 Transporters	K17467	1.0
00030 Pentose phosphate pathway	K17468	1.0
02020 Two-component system	K01051	1.0
09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions	1.0
00040 Pentose and glucuronate interconversions	K22539	1.0
ko00001	09140 Cellular Processes	1.0
09140 Cellular Processes	09145 Cellular community - prokaryotes	1.0
09145 Cellular community - prokaryotes	02024 Quorum sensing	1.0
02024 Quorum sensing	K01728	1.0
00040 Pentose and glucuronate interconversions	K19551	1.0
00040 Pentose and glucuronate interconversions	K01731	1.0
00040 Pentose and glucuronate interconversions	K22994	1.0
00040 Pentose and glucuronate interconversions	K01730	1.0
00040 Pentose and glucuronate interconversions	K01815	1.0
00040 Pentose and glucuronate interconversions	K00065	1.0
00040 Pentose and glucuronate interconversions	K01184	1.0
00040 Pentose and glucuronate interconversions	K01213	1.0
00040 Pentose and glucuronate interconversions	K22933	1.0
00040 Pentose and glucuronate interconversions	K01812	1.0
00040 Pentose and glucuronate interconversions	K00041	1.0
00040 Pentose and glucuronate interconversions	K01685	1.0
00040 Pentose and glucuronate interconversions	K16849	1.0
00040 Pentose and glucuronate interconversions	K16850	1.0
00040 Pentose and glucuronate interconversions	K01686	1.0
00040 Pentose and glucuronate interconversions	K08323	1.0
00040 Pentose and glucuronate interconversions	K08322	1.0
00040 Pentose and glucuronate interconversions	K00040	1.0
00040 Pentose and glucuronate interconversions	K21619	1.0
00040 Pentose and glucuronate interconversions	K18106	1.0
00040 Pentose and glucuronate interconversions	K19634	1.0
00040 Pentose and glucuronate interconversions	K18102	1.0
00040 Pentose and glucuronate interconversions	K18103	1.0
00040 Pentose and glucuronate interconversions	K18107	1.0
09140 Cellular Processes	09141 Transport and catabolism	1.0
09141 Transport and catabolism	04142 Lysosome	1.0
04142 Lysosome	K01195	1.0
04147 Exosome	K14756	1.0
09181 Protein families: metabolism	01003 Glycosyltransferases	1.0
01003 Glycosyltransferases	K00699	1.0
00520 Amino sugar and nucleotide sugar metabolism	K16190	1.0
00520 Amino sugar and nucleotide sugar metabolism	K12447	1.0
09100 Metabolism	09107 Glycan biosynthesis and metabolism	1.0
09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K00012	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K00963	1.0
00040 Pentose and glucuronate interconversions	K13247	1.0
09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism	1.0
00053 Ascorbate and aldarate metabolism	K08092	1.0
00053 Ascorbate and aldarate metabolism	K00880	1.0
00053 Ascorbate and aldarate metabolism	K03078	1.0
00053 Ascorbate and aldarate metabolism	K03079	1.0
00053 Ascorbate and aldarate metabolism	K03077	1.0
00040 Pentose and glucuronate interconversions	K01804	1.0
00040 Pentose and glucuronate interconversions	K00853	1.0
00040 Pentose and glucuronate interconversions	K24707	1.0
00040 Pentose and glucuronate interconversions	K00854	1.0
00051 Fructose and mannose metabolism	K01805	1.0
09100 Metabolism	09108 Metabolism of cofactors and vitamins	1.0
09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis	1.0
00790 Folate biosynthesis	K00011	1.0
00051 Fructose and mannose metabolism	K00594	1.0
00040 Pentose and glucuronate interconversions	K17743	1.0
00040 Pentose and glucuronate interconversions	K03331	1.0
00040 Pentose and glucuronate interconversions	K25879	1.0
00040 Pentose and glucuronate interconversions	K25880	1.0
00040 Pentose and glucuronate interconversions	K25881	1.0
00051 Fructose and mannose metabolism	K01820	1.0
00051 Fructose and mannose metabolism	K00848	1.0
00051 Fructose and mannose metabolism	K01629	1.0
00040 Pentose and glucuronate interconversions	K17738	1.0
00040 Pentose and glucuronate interconversions	K17818	1.0
00051 Fructose and mannose metabolism	K00007	1.0
00040 Pentose and glucuronate interconversions	K09988	1.0
00040 Pentose and glucuronate interconversions	K05351	1.0
00051 Fructose and mannose metabolism	K00008	1.0
00040 Pentose and glucuronate interconversions	K22185	1.0
09111 Xenobiotics biodegradation and metabolism	00980 Metabolism of xenobiotics by cytochrome P450	1.0
00980 Metabolism of xenobiotics by cytochrome P450	K00078	1.0
00040 Pentose and glucuronate interconversions	K14273	1.0
00040 Pentose and glucuronate interconversions	K14274	1.0
00040 Pentose and glucuronate interconversions	K24442	1.0
00053 Ascorbate and aldarate metabolism	K24443	1.0
00040 Pentose and glucuronate interconversions	K14275	1.0
00040 Pentose and glucuronate interconversions	K22186	1.0
00040 Pentose and glucuronate interconversions	K22396	1.0
00040 Pentose and glucuronate interconversions	K22397	1.0
00053 Ascorbate and aldarate metabolism	K14259	1.0
09106 Metabolism of other amino acids	00470 D-Amino acid metabolism	1.0
00470 D-Amino acid metabolism	K13877	1.0
00470 D-Amino acid metabolism	K19588	1.0
00040 Pentose and glucuronate interconversions	K22187	1.0
00040 Pentose and glucuronate interconversions	K00875	1.0
00040 Pentose and glucuronate interconversions	K22935	1.0
00040 Pentose and glucuronate interconversions	K00039	1.0
00040 Pentose and glucuronate interconversions	K21680	1.0
00040 Pentose and glucuronate interconversions	K05352	1.0
00040 Pentose and glucuronate interconversions	K21681	1.0
00040 Pentose and glucuronate interconversions	K21030	1.0
09107 Glycan biosynthesis and metabolism	00515 Mannose type O-glycan biosynthesis	1.0
00515 Mannose type O-glycan biosynthesis	K21031	1.0
00051 Fructose and mannose metabolism	K01818	1.0
00051 Fructose and mannose metabolism	K00879	1.0
00051 Fructose and mannose metabolism	K01628	1.0
02024 Quorum sensing	K01218	1.0
00051 Fructose and mannose metabolism	K19355	1.0
00520 Amino sugar and nucleotide sugar metabolism	K00847	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K01809	1.0
09145 Cellular community - prokaryotes	02025 Biofilm formation - Pseudomonas aeruginosa	1.0
02025 Biofilm formation - Pseudomonas aeruginosa	K16011	1.0
00520 Amino sugar and nucleotide sugar metabolism	K17497	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K01840	1.0
00520 Amino sugar and nucleotide sugar metabolism	K16881	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K00971	1.0
00520 Amino sugar and nucleotide sugar metabolism	K00966	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K01711	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K02377	1.0
00520 Amino sugar and nucleotide sugar metabolism	K00976	1.0
00230 Purine metabolism	K18447	1.0
00520 Amino sugar and nucleotide sugar metabolism	K05305	1.0
00053 Ascorbate and aldarate metabolism	K00064	1.0
00051 Fructose and mannose metabolism	K18333	1.0
00051 Fructose and mannose metabolism	K07046	1.0
00051 Fructose and mannose metabolism	K18334	1.0
00051 Fructose and mannose metabolism	K18335	1.0
00051 Fructose and mannose metabolism	K18336	1.0
00051 Fructose and mannose metabolism	K18337	1.0
00051 Fructose and mannose metabolism	K18338	1.0
00051 Fructose and mannose metabolism	K12661	1.0
00051 Fructose and mannose metabolism	K18339	1.0
00051 Fructose and mannose metabolism	K12660	1.0
00051 Fructose and mannose metabolism	K01813	1.0
00051 Fructose and mannose metabolism	K21883	1.0
01003 Glycosyltransferases	K05947	1.0
00051 Fructose and mannose metabolism	K07026	1.0
00051 Fructose and mannose metabolism	K18818	1.0
09150 Organismal Systems	09152 Endocrine system	1.0
09152 Endocrine system	04922 Glucagon signaling pathway	1.0
04922 Glucagon signaling pathway	K19028	1.0
09152 Endocrine system	04919 Thyroid hormone signaling pathway	1.0
04919 Thyroid hormone signaling pathway	K19029	1.0
09132 Signal transduction	04152 AMPK signaling pathway	1.0
04152 AMPK signaling pathway	K01103	1.0
04152 AMPK signaling pathway	K19030	1.0
00051 Fructose and mannose metabolism	K00900	1.0
05230 Central carbon metabolism in cancer	K14634	1.0
00051 Fructose and mannose metabolism	K00009	1.0
00051 Fructose and mannose metabolism	K00068	1.0
00051 Fructose and mannose metabolism	K19956	1.0
04147 Exosome	K00846	1.0
09130 Environmental Information Processing	09131 Membrane transport	1.0
09131 Membrane transport	02060 Phosphotransferase system (PTS)	1.0
02060 Phosphotransferase system (PTS)	K00882	1.0
00051 Fructose and mannose metabolism	K08261	1.0
00051 Fructose and mannose metabolism	K17742	1.0
00051 Fructose and mannose metabolism	K19633	1.0
00051 Fructose and mannose metabolism	K00045	1.0
02020 Two-component system	K00066	1.0
01003 Glycosyltransferases	K19290	1.0
02025 Biofilm formation - Pseudomonas aeruginosa	K19291	1.0
00051 Fructose and mannose metabolism	K01795	1.0
00051 Fructose and mannose metabolism	K01729	1.0
09150 Organismal Systems	09151 Immune system	1.0
09151 Immune system	04622 RIG-I-like receptor signaling pathway	1.0
04622 RIG-I-like receptor signaling pathway	K00863	1.0
00051 Fructose and mannose metabolism	K03332	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K22252	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K15856	1.0
00051 Fructose and mannose metabolism	K00881	1.0
00051 Fructose and mannose metabolism	K17195	1.0
02000 Transporters	K02768	1.0
02000 Transporters	K02769	1.0
02000 Transporters	K02770	1.0
02000 Transporters	K11194	1.0
02000 Transporters	K11195	1.0
02000 Transporters	K11196	1.0
02000 Transporters	K02771	1.0
02000 Transporters	K02793	1.0
02000 Transporters	K02794	1.0
02000 Transporters	K02795	1.0
02000 Transporters	K02796	1.0
02000 Transporters	K25814	1.0
02000 Transporters	K02798	1.0
02000 Transporters	K02800	1.0
00051 Fructose and mannose metabolism	K19270	1.0
00051 Fructose and mannose metabolism	K24204	1.0
02000 Transporters	K02781	1.0
02000 Transporters	K02782	1.0
02000 Transporters	K02783	1.0
02000 Transporters	K02812	1.0
02000 Transporters	K02813	1.0
02000 Transporters	K02814	1.0
02000 Transporters	K02815	1.0
04147 Exosome	K00849	1.0
09152 Endocrine system	04917 Prolactin signaling pathway	1.0
04917 Prolactin signaling pathway	K00965	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K01784	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K17716	1.0
09107 Glycan biosynthesis and metabolism	00511 Other glycan degradation	1.0
00511 Other glycan degradation	K01190	1.0
00511 Other glycan degradation	K12111	1.0
00511 Other glycan degradation	K12112	1.0
00052 Galactose metabolism	K12308	1.0
04147 Exosome	K12309	1.0
09182 Protein families: genetic information processing	03110 Chaperones and folding catalysts	1.0
03110 Chaperones and folding catalysts	K01229	1.0
00052 Galactose metabolism	K00704	1.0
04147 Exosome	K07966	1.0
01003 Glycosyltransferases	K07967	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K01854	1.0
00052 Galactose metabolism	K18819	1.0
00052 Galactose metabolism	K06617	1.0
04142 Lysosome	K01189	1.0
09107 Glycan biosynthesis and metabolism	00603 Glycosphingolipid biosynthesis - globo and isoglobo series	1.0
00603 Glycosphingolipid biosynthesis - globo and isoglobo series	K07406	1.0
00603 Glycosphingolipid biosynthesis - globo and isoglobo series	K07407	1.0
02000 Transporters	K02773	1.0
02000 Transporters	K02774	1.0
02000 Transporters	K02775	1.0
00052 Galactose metabolism	K00094	1.0
00052 Galactose metabolism	K21620	1.0
00052 Galactose metabolism	K21621	1.0
00052 Galactose metabolism	K21622	1.0
00052 Galactose metabolism	K00917	1.0
02024 Quorum sensing	K01635	1.0
00052 Galactose metabolism	K08302	1.0
00052 Galactose metabolism	K16371	1.0
00052 Galactose metabolism	K00035	1.0
00052 Galactose metabolism	K22215	1.0
00052 Galactose metabolism	K04618	1.0
00052 Galactose metabolism	K01684	1.0
00052 Galactose metabolism	K00883	1.0
00052 Galactose metabolism	K01631	1.0
00052 Galactose metabolism	K01819	1.0
00052 Galactose metabolism	K01220	1.0
02000 Transporters	K02786	1.0
02000 Transporters	K02788	1.0
00500 Starch and sucrose metabolism	K01193	1.0
00052 Galactose metabolism	K06611	1.0
09150 Organismal Systems	09154 Digestive system	1.0
09154 Digestive system	04973 Carbohydrate digestion and absorption	1.0
04973 Carbohydrate digestion and absorption	K12047	1.0
00500 Starch and sucrose metabolism	K01187	1.0
04147 Exosome	K12316	1.0
00500 Starch and sucrose metabolism	K12317	1.0
00500 Starch and sucrose metabolism	K01182	1.0
04147 Exosome	K01203	1.0
02000 Transporters	K02744	1.0
02000 Transporters	K02745	1.0
02000 Transporters	K02746	1.0
02000 Transporters	K02747	1.0
00052 Galactose metabolism	K02079	1.0
00052 Galactose metabolism	K02082	1.0
02000 Transporters	K10984	1.0
02000 Transporters	K10985	1.0
02000 Transporters	K10986	1.0
00562 Inositol phosphate metabolism	K00469	1.0
00053 Ascorbate and aldarate metabolism	K00103	1.0
00520 Amino sugar and nucleotide sugar metabolism	K10046	1.0
00053 Ascorbate and aldarate metabolism	K14190	1.0
09132 Signal transduction	04070 Phosphatidylinositol signaling system	1.0
04070 Phosphatidylinositol signaling system	K10047	1.0
04070 Phosphatidylinositol signaling system	K18649	1.0
00053 Ascorbate and aldarate metabolism	K17744	1.0
00053 Ascorbate and aldarate metabolism	K00225	1.0
00541 O-Antigen nucleotide sugar biosynthesis	K08679	1.0
