#parent	child
00520 Amino sugar and nucleotide sugar metabolism	K00886
00010 Glycolysis / Gluconeogenesis	K08074
00010 Glycolysis / Gluconeogenesis	K01792
00260 Glycine, serine and threonine metabolism	K01837
09101 Carbohydrate metabolism	00562 Inositol phosphate metabolism
00562 Inositol phosphate metabolism	K03103
00010 Glycolysis / Gluconeogenesis	K11389
09101 Carbohydrate metabolism	00030 Pentose phosphate pathway
00030 Pentose phosphate pathway	K00131
00030 Pentose phosphate pathway	K18978
04931 Insulin resistance	K01596
00710 Carbon fixation in photosynthetic organisms	K01610
09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism
00500 Starch and sucrose metabolism	K01222
00500 Starch and sucrose metabolism	K01223
09183 Protein families: signaling and cellular processes	ko02000
ko02000	K02777
ko02000	K02779
ko02000	K02791
ko02000	K20118
ko02000	K02753
09101 Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism
00630 Glyoxylate and dicarboxylate metabolism	K01647
ko04147	K01648
00720 Carbon fixation pathways in prokaryotes	K15230
00720 Carbon fixation pathways in prokaryotes	K15231
09101 Carbohydrate metabolism	00020 Citrate cycle (TCA cycle)
00020 Citrate cycle (TCA cycle)	K05942
00720 Carbon fixation pathways in prokaryotes	K01681
00720 Carbon fixation pathways in prokaryotes	K01682
09160 Human Diseases	09161 Cancer: overview
09161 Cancer: overview	05230 Central carbon metabolism in cancer
05230 Central carbon metabolism in cancer	K00031
00020 Citrate cycle (TCA cycle)	K00030
09105 Amino acid metabolism	00300 Lysine biosynthesis
00300 Lysine biosynthesis	K17753
00020 Citrate cycle (TCA cycle)	K00164
09105 Amino acid metabolism	00380 Tryptophan metabolism
00380 Tryptophan metabolism	K00658
00630 Glyoxylate and dicarboxylate metabolism	K01616
00720 Carbon fixation pathways in prokaryotes	K00177
00720 Carbon fixation pathways in prokaryotes	K00176
00720 Carbon fixation pathways in prokaryotes	K01902
00720 Carbon fixation pathways in prokaryotes	K01903
09101 Carbohydrate metabolism	00640 Propanoate metabolism
00640 Propanoate metabolism	K01899
ko04147	K01900
09101 Carbohydrate metabolism	00650 Butanoate metabolism
00650 Butanoate metabolism	K18118
09167 Endocrine and metabolic disease	04932 Non-alcoholic fatty liver disease
04932 Non-alcoholic fatty liver disease	K00234
04932 Non-alcoholic fatty liver disease	K00235
04932 Non-alcoholic fatty liver disease	K00236
04932 Non-alcoholic fatty liver disease	K00237
09102 Energy metabolism	00190 Oxidative phosphorylation
00190 Oxidative phosphorylation	K25801
09160 Human Diseases	09171 Infectious disease: bacterial
09171 Infectious disease: bacterial	05134 Legionellosis
05134 Legionellosis	K00239
00720 Carbon fixation pathways in prokaryotes	K00240
00720 Carbon fixation pathways in prokaryotes	K00241
00720 Carbon fixation pathways in prokaryotes	K00242
00720 Carbon fixation pathways in prokaryotes	K18859
00720 Carbon fixation pathways in prokaryotes	K18860
ko00001	09130 Environmental Information Processing
09130 Environmental Information Processing	09132 Signal transduction
09132 Signal transduction	02020 Two-component system
02020 Two-component system	K00244
02020 Two-component system	K00245
02020 Two-component system	K00246
02020 Two-component system	K00247
00720 Carbon fixation pathways in prokaryotes	K00233
00720 Carbon fixation pathways in prokaryotes	K25995
00720 Carbon fixation pathways in prokaryotes	K25996
00720 Carbon fixation pathways in prokaryotes	K01676
00720 Carbon fixation pathways in prokaryotes	K01677
00720 Carbon fixation pathways in prokaryotes	K01678
09167 Endocrine and metabolic disease	04934 Cushing syndrome
04934 Cushing syndrome	K01679
00720 Carbon fixation pathways in prokaryotes	K01675
00720 Carbon fixation pathways in prokaryotes	K01774
ko00001	09150 Organismal Systems
09150 Organismal Systems	09155 Excretory system
04964 Proximal tubule bicarbonate reclamation	K00025
09105 Amino acid metabolism	00270 Cysteine and methionine metabolism
00270 Cysteine and methionine metabolism	K00026
00270 Cysteine and methionine metabolism	K00024
00620 Pyruvate metabolism	K00116
00720 Carbon fixation pathways in prokaryotes	K01958
00720 Carbon fixation pathways in prokaryotes	K01959
00720 Carbon fixation pathways in prokaryotes	K01960
ko04147	K00036
00030 Pentose phosphate pathway	K19243
00030 Pentose phosphate pathway	K01057
00030 Pentose phosphate pathway	K07404
00030 Pentose phosphate pathway	K13937
09100 Metabolism	09106 Metabolism of other amino acids
09106 Metabolism of other amino acids	00480 Glutathione metabolism
00480 Glutathione metabolism	K00033
00710 Carbon fixation in photosynthetic organisms	K01783
09109 Metabolism of terpenoids and polyketides	01051 Biosynthesis of ansamycins
01051 Biosynthesis of ansamycins	K00615
00030 Pentose phosphate pathway	K00616
00710 Carbon fixation in photosynthetic organisms	K01807
00710 Carbon fixation in photosynthetic organisms	K01808
00680 Methane metabolism	K13812
00680 Methane metabolism	K08093
00680 Methane metabolism	K08094
00680 Methane metabolism	K13831
00710 Carbon fixation in photosynthetic organisms	K01621
00030 Pentose phosphate pathway	K01619
00030 Pentose phosphate pathway	K00852
00230 Purine metabolism	K01839
00230 Purine metabolism	K22199
00030 Pentose phosphate pathway	K05774
00230 Purine metabolism	K00948
00030 Pentose phosphate pathway	K01690
00630 Glyoxylate and dicarboxylate metabolism	K01625
00030 Pentose phosphate pathway	K17463
00052 Galactose metabolism	K11395
00030 Pentose phosphate pathway	K00034
00030 Pentose phosphate pathway	K22969
00030 Pentose phosphate pathway	K21840
00052 Galactose metabolism	K18124
00052 Galactose metabolism	K18125
00030 Pentose phosphate pathway	K00115
00030 Pentose phosphate pathway	K19813
00030 Pentose phosphate pathway	K00117
ko04147	K01053
00030 Pentose phosphate pathway	K06151
00030 Pentose phosphate pathway	K06152
00260 Glycine, serine and threonine metabolism	K00090
00030 Pentose phosphate pathway	K22229
00030 Pentose phosphate pathway	K11441
00480 Glutathione metabolism	K00032
00030 Pentose phosphate pathway	K00851
00030 Pentose phosphate pathway	K25031
00052 Galactose metabolism	K05308
00030 Pentose phosphate pathway	K00874
00052 Galactose metabolism	K18126
00052 Galactose metabolism	K18127
00030 Pentose phosphate pathway	K03738
00030 Pentose phosphate pathway	K18020
00030 Pentose phosphate pathway	K18021
00030 Pentose phosphate pathway	K18022
00030 Pentose phosphate pathway	K18128
00260 Glycine, serine and threonine metabolism	K11529
00030 Pentose phosphate pathway	K22345
ko02000	K17464
ko02000	K17465
ko02000	K17466
ko02000	K17467
00030 Pentose phosphate pathway	K17468
02020 Two-component system	K01051
09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions
00040 Pentose and glucuronate interconversions	K22539
ko00001	09140 Cellular Processes
09140 Cellular Processes	09145 Cellular community - prokaryotes
09145 Cellular community - prokaryotes	02024 Quorum sensing
02024 Quorum sensing	K01728
00040 Pentose and glucuronate interconversions	K19551
00040 Pentose and glucuronate interconversions	K01731
00040 Pentose and glucuronate interconversions	K22994
00040 Pentose and glucuronate interconversions	K01730
00040 Pentose and glucuronate interconversions	K01815
00040 Pentose and glucuronate interconversions	K00065
00040 Pentose and glucuronate interconversions	K01184
00040 Pentose and glucuronate interconversions	K01213
00040 Pentose and glucuronate interconversions	K22933
00040 Pentose and glucuronate interconversions	K01812
00040 Pentose and glucuronate interconversions	K00041
00040 Pentose and glucuronate interconversions	K01685
00040 Pentose and glucuronate interconversions	K16849
00040 Pentose and glucuronate interconversions	K16850
00040 Pentose and glucuronate interconversions	K01686
00040 Pentose and glucuronate interconversions	K08323
00040 Pentose and glucuronate interconversions	K08322
00040 Pentose and glucuronate interconversions	K00040
00040 Pentose and glucuronate interconversions	K21619
00040 Pentose and glucuronate interconversions	K18106
00040 Pentose and glucuronate interconversions	K19634
00040 Pentose and glucuronate interconversions	K18102
00040 Pentose and glucuronate interconversions	K18103
00040 Pentose and glucuronate interconversions	K18107
09140 Cellular Processes	09141 Transport and catabolism
09141 Transport and catabolism	04142 Lysosome
04142 Lysosome	K01195
ko04147	K14756
09181 Protein families: metabolism	ko01003
ko01003	K00699
00520 Amino sugar and nucleotide sugar metabolism	K16190
00520 Amino sugar and nucleotide sugar metabolism	K12447
09100 Metabolism	09107 Glycan biosynthesis and metabolism
09107 Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis
00541 O-Antigen nucleotide sugar biosynthesis	K00012
00541 O-Antigen nucleotide sugar biosynthesis	K00963
00040 Pentose and glucuronate interconversions	K13247
09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism
00053 Ascorbate and aldarate metabolism	K08092
00053 Ascorbate and aldarate metabolism	K00880
00053 Ascorbate and aldarate metabolism	K03078
00053 Ascorbate and aldarate metabolism	K03079
00053 Ascorbate and aldarate metabolism	K03077
00040 Pentose and glucuronate interconversions	K01804
00040 Pentose and glucuronate interconversions	K00853
00040 Pentose and glucuronate interconversions	K24707
00040 Pentose and glucuronate interconversions	K00854
00051 Fructose and mannose metabolism	K01805
09100 Metabolism	09108 Metabolism of cofactors and vitamins
09108 Metabolism of cofactors and vitamins	00790 Folate biosynthesis
00790 Folate biosynthesis	K00011
00051 Fructose and mannose metabolism	K00594
00040 Pentose and glucuronate interconversions	K17743
00040 Pentose and glucuronate interconversions	K26066
00040 Pentose and glucuronate interconversions	K03331
00040 Pentose and glucuronate interconversions	K25879
00040 Pentose and glucuronate interconversions	K25880
00040 Pentose and glucuronate interconversions	K25881
00051 Fructose and mannose metabolism	K01820
00051 Fructose and mannose metabolism	K00848
00051 Fructose and mannose metabolism	K01629
00040 Pentose and glucuronate interconversions	K17738
00040 Pentose and glucuronate interconversions	K17818
00051 Fructose and mannose metabolism	K00007
00040 Pentose and glucuronate interconversions	K09988
00040 Pentose and glucuronate interconversions	K05351
00051 Fructose and mannose metabolism	K00008
00040 Pentose and glucuronate interconversions	K22185
09111 Xenobiotics biodegradation and metabolism	00980 Metabolism of xenobiotics by cytochrome P450
00980 Metabolism of xenobiotics by cytochrome P450	K00078
00040 Pentose and glucuronate interconversions	K14273
00040 Pentose and glucuronate interconversions	K14274
00040 Pentose and glucuronate interconversions	K24442
00053 Ascorbate and aldarate metabolism	K24443
00040 Pentose and glucuronate interconversions	K14275
00040 Pentose and glucuronate interconversions	K22186
00040 Pentose and glucuronate interconversions	K22396
00040 Pentose and glucuronate interconversions	K22397
00053 Ascorbate and aldarate metabolism	K14259
09106 Metabolism of other amino acids	00470 D-Amino acid metabolism
00470 D-Amino acid metabolism	K13877
00470 D-Amino acid metabolism	K19588
00040 Pentose and glucuronate interconversions	K22187
00040 Pentose and glucuronate interconversions	K00875
00040 Pentose and glucuronate interconversions	K22935
00040 Pentose and glucuronate interconversions	K00039
00040 Pentose and glucuronate interconversions	K21680
00040 Pentose and glucuronate interconversions	K05352
00040 Pentose and glucuronate interconversions	K21681
00040 Pentose and glucuronate interconversions	K21030
00515 Mannose type O-glycan biosynthesis	K21031
00051 Fructose and mannose metabolism	K01818
00051 Fructose and mannose metabolism	K00879
00051 Fructose and mannose metabolism	K01628
02024 Quorum sensing	K01218
00051 Fructose and mannose metabolism	K19355
00520 Amino sugar and nucleotide sugar metabolism	K00847
00541 O-Antigen nucleotide sugar biosynthesis	K01809
09145 Cellular community - prokaryotes	02025 Biofilm formation - Pseudomonas aeruginosa
02025 Biofilm formation - Pseudomonas aeruginosa	K16011
00520 Amino sugar and nucleotide sugar metabolism	K17497
00541 O-Antigen nucleotide sugar biosynthesis	K01840
00520 Amino sugar and nucleotide sugar metabolism	K16881
00541 O-Antigen nucleotide sugar biosynthesis	K00971
00520 Amino sugar and nucleotide sugar metabolism	K00966
00541 O-Antigen nucleotide sugar biosynthesis	K01711
00541 O-Antigen nucleotide sugar biosynthesis	K02377
00520 Amino sugar and nucleotide sugar metabolism	K00976
00230 Purine metabolism	K18447
00520 Amino sugar and nucleotide sugar metabolism	K05305
00053 Ascorbate and aldarate metabolism	K00064
00051 Fructose and mannose metabolism	K18333
00051 Fructose and mannose metabolism	K07046
00051 Fructose and mannose metabolism	K18334
00051 Fructose and mannose metabolism	K18335
00051 Fructose and mannose metabolism	K18336
00051 Fructose and mannose metabolism	K18337
00051 Fructose and mannose metabolism	K18338
00051 Fructose and mannose metabolism	K12661
00051 Fructose and mannose metabolism	K18339
00051 Fructose and mannose metabolism	K12660
00051 Fructose and mannose metabolism	K01813
00051 Fructose and mannose metabolism	K21883
ko01003	K05947
00051 Fructose and mannose metabolism	K07026
00051 Fructose and mannose metabolism	K18818
09150 Organismal Systems	09152 Endocrine system
09152 Endocrine system	04922 Glucagon signaling pathway
04922 Glucagon signaling pathway	K19028
09152 Endocrine system	04919 Thyroid hormone signaling pathway
04919 Thyroid hormone signaling pathway	K19029
09132 Signal transduction	04152 AMPK signaling pathway
04152 AMPK signaling pathway	K01103
04152 AMPK signaling pathway	K19030
00051 Fructose and mannose metabolism	K00900
05230 Central carbon metabolism in cancer	K14634
00051 Fructose and mannose metabolism	K00009
00051 Fructose and mannose metabolism	K00068
00051 Fructose and mannose metabolism	K19956
ko04147	K00846
09130 Environmental Information Processing	09131 Membrane transport
09131 Membrane transport	02060 Phosphotransferase system (PTS)
02060 Phosphotransferase system (PTS)	K00882
00051 Fructose and mannose metabolism	K08261
00051 Fructose and mannose metabolism	K17742
00051 Fructose and mannose metabolism	K19633
00051 Fructose and mannose metabolism	K00045
02020 Two-component system	K00066
ko01003	K19290
02025 Biofilm formation - Pseudomonas aeruginosa	K19291
00051 Fructose and mannose metabolism	K01795
00051 Fructose and mannose metabolism	K01729
09150 Organismal Systems	09151 Immune system
09151 Immune system	04622 RIG-I-like receptor signaling pathway
04622 RIG-I-like receptor signaling pathway	K00863
00051 Fructose and mannose metabolism	K03332
00541 O-Antigen nucleotide sugar biosynthesis	K22252
00541 O-Antigen nucleotide sugar biosynthesis	K15856
00051 Fructose and mannose metabolism	K00881
00051 Fructose and mannose metabolism	K17195
ko02000	K02768
ko02000	K02769
ko02000	K02770
ko02000	K11194
ko02000	K11195
ko02000	K11196
ko02000	K02771
ko02000	K02793
ko02000	K02794
ko02000	K02795
ko02000	K02796
ko02000	K25814
ko02000	K02798
ko02000	K02800
00051 Fructose and mannose metabolism	K19270
00051 Fructose and mannose metabolism	K24204
ko02000	K02781
ko02000	K02782
ko02000	K02783
ko02000	K02812
ko02000	K02813
ko02000	K02814
ko02000	K02815
ko04147	K00849
09152 Endocrine system	04917 Prolactin signaling pathway
04917 Prolactin signaling pathway	K00965
00541 O-Antigen nucleotide sugar biosynthesis	K01784
00541 O-Antigen nucleotide sugar biosynthesis	K17716
09107 Glycan biosynthesis and metabolism	00511 Other glycan degradation
00511 Other glycan degradation	K01190
00511 Other glycan degradation	K12111
00511 Other glycan degradation	K12112
00052 Galactose metabolism	K12308
ko04147	K12309
09182 Protein families: genetic information processing	ko03110
ko03110	K01229
00052 Galactose metabolism	K00704
ko04147	K07966
ko01003	K07967
00541 O-Antigen nucleotide sugar biosynthesis	K01854
00052 Galactose metabolism	K18819
00052 Galactose metabolism	K06617
04142 Lysosome	K01189
09107 Glycan biosynthesis and metabolism	00603 Glycosphingolipid biosynthesis - globo and isoglobo series
00603 Glycosphingolipid biosynthesis - globo and isoglobo series	K07406
00603 Glycosphingolipid biosynthesis - globo and isoglobo series	K07407
ko02000	K02773
ko02000	K02774
ko02000	K02775
00052 Galactose metabolism	K00094
00052 Galactose metabolism	K21620
00052 Galactose metabolism	K21621
00052 Galactose metabolism	K21622
00052 Galactose metabolism	K00917
02024 Quorum sensing	K01635
00052 Galactose metabolism	K08302
00052 Galactose metabolism	K16371
00052 Galactose metabolism	K00035
00052 Galactose metabolism	K22215
00052 Galactose metabolism	K04618
00052 Galactose metabolism	K01684
00052 Galactose metabolism	K00883
00052 Galactose metabolism	K01631
00052 Galactose metabolism	K01819
00052 Galactose metabolism	K01220
ko02000	K02786
ko02000	K02788
00500 Starch and sucrose metabolism	K01193
00052 Galactose metabolism	K06611
09150 Organismal Systems	09154 Digestive system
09154 Digestive system	04973 Carbohydrate digestion and absorption
04973 Carbohydrate digestion and absorption	K12047
00500 Starch and sucrose metabolism	K01187
ko04147	K12316
00500 Starch and sucrose metabolism	K12317
00500 Starch and sucrose metabolism	K01182
ko04147	K01203
ko02000	K02744
ko02000	K02745
ko02000	K02746
ko02000	K02747
00052 Galactose metabolism	K02079
00052 Galactose metabolism	K02082
ko02000	K10984
ko02000	K10985
ko02000	K10986
00562 Inositol phosphate metabolism	K00469
00053 Ascorbate and aldarate metabolism	K00103
00520 Amino sugar and nucleotide sugar metabolism	K10046
00053 Ascorbate and aldarate metabolism	K14190
09132 Signal transduction	04070 Phosphatidylinositol signaling system
04070 Phosphatidylinositol signaling system	K10047
04070 Phosphatidylinositol signaling system	K18649
00053 Ascorbate and aldarate metabolism	K17744
00053 Ascorbate and aldarate metabolism	K00225
00541 O-Antigen nucleotide sugar biosynthesis	K08679
00053 Ascorbate and aldarate metabolism	K19642
00053 Ascorbate and aldarate metabolism	K23003
00053 Ascorbate and aldarate metabolism	K23004
00053 Ascorbate and aldarate metabolism	K23005
00053 Ascorbate and aldarate metabolism	K23007
ko02000	K02821
ko02000	K02822
ko02000	K03475
00053 Ascorbate and aldarate metabolism	K03476
00053 Ascorbate and aldarate metabolism	K08232
00480 Glutathione metabolism	K00434
ko02000	K21888
00053 Ascorbate and aldarate metabolism	K00423
00053 Ascorbate and aldarate metabolism	K01706
00053 Ascorbate and aldarate metabolism	K01630
00053 Ascorbate and aldarate metabolism	K00062
00053 Ascorbate and aldarate metabolism	K00063
00053 Ascorbate and aldarate metabolism	K00107
00053 Ascorbate and aldarate metabolism	K19590
00053 Ascorbate and aldarate metabolism	K01683
00053 Ascorbate and aldarate metabolism	K13873
00053 Ascorbate and aldarate metabolism	K19660
00053 Ascorbate and aldarate metabolism	K13874
00053 Ascorbate and aldarate metabolism	K13875
00053 Ascorbate and aldarate metabolism	K13876
00053 Ascorbate and aldarate metabolism	K25260
00053 Ascorbate and aldarate metabolism	K01707
00053 Ascorbate and aldarate metabolism	K01708
00053 Ascorbate and aldarate metabolism	K20023
00053 Ascorbate and aldarate metabolism	K18981
00053 Ascorbate and aldarate metabolism	K18982
00053 Ascorbate and aldarate metabolism	K18983
ko02000	K02810
00500 Starch and sucrose metabolism	K00696
00500 Starch and sucrose metabolism	K07024
ko01003	K00695
00500 Starch and sucrose metabolism	K20811
ko01003	K00692
00500 Starch and sucrose metabolism	K18775
00500 Starch and sucrose metabolism	K01212
00500 Starch and sucrose metabolism	K05341
02020 Two-component system	K00689
00500 Starch and sucrose metabolism	K00690
09183 Protein families: signaling and cellular processes	ko00537
ko00537	K01513
ko01003	K00706
ko00537	K01199
ko00537	K19891
ko00537	K19892
ko00537	K19893
00500 Starch and sucrose metabolism	K01210
09110 Biosynthesis of other secondary metabolites	00999 Biosynthesis of various plant secondary metabolites
00999 Biosynthesis of various plant secondary metabolites	K01188
00999 Biosynthesis of various plant secondary metabolites	K05349
00999 Biosynthesis of various plant secondary metabolites	K05350
ko01003	K00694
02020 Two-component system	K01179
00500 Starch and sucrose metabolism	K19357
00500 Starch and sucrose metabolism	K01225
02020 Two-component system	K19668
00500 Starch and sucrose metabolism	K00702
ko02000	K02759
ko02000	K02760
ko02000	K02761
00541 O-Antigen nucleotide sugar biosynthesis	K00978
09145 Cellular community - prokaryotes	02026 Biofilm formation - Escherichia coli
02026 Biofilm formation - Escherichia coli	K00975
ko01003	K00703
ko01003	K13679
00500 Starch and sucrose metabolism	K20812
ko01003	K00693
ko01003	K00750
ko01003	K16150
ko01003	K16153
ko04147	K00700
00500 Starch and sucrose metabolism	K16149
04931 Insulin resistance	K00688
00500 Starch and sucrose metabolism	K01196
00500 Starch and sucrose metabolism	K02438
00500 Starch and sucrose metabolism	K01200
04973 Carbohydrate digestion and absorption	K01176
00500 Starch and sucrose metabolism	K07405
00500 Starch and sucrose metabolism	K05343
00500 Starch and sucrose metabolism	K01177
00500 Starch and sucrose metabolism	K05992
00500 Starch and sucrose metabolism	K01208
00500 Starch and sucrose metabolism	K01178
00500 Starch and sucrose metabolism	K21574
00500 Starch and sucrose metabolism	K05988
00500 Starch and sucrose metabolism	K00705
00500 Starch and sucrose metabolism	K22451
00500 Starch and sucrose metabolism	K16146
00500 Starch and sucrose metabolism	K16147
ko01003	K16148
00500 Starch and sucrose metabolism	K00691
00500 Starch and sucrose metabolism	K01838
ko02000	K20108
ko02000	K02750
00500 Starch and sucrose metabolism	K06896
00500 Starch and sucrose metabolism	K01232
00500 Starch and sucrose metabolism	K00701
00500 Starch and sucrose metabolism	K01214
00500 Starch and sucrose metabolism	K06044
00500 Starch and sucrose metabolism	K01236
00500 Starch and sucrose metabolism	K13057
ko01003	K00697
00500 Starch and sucrose metabolism	K01087
ko01003	K16055
00500 Starch and sucrose metabolism	K22337
ko00537	K01194
00500 Starch and sucrose metabolism	K22934
00500 Starch and sucrose metabolism	K05342
ko02000	K02819
00500 Starch and sucrose metabolism	K01226
00500 Starch and sucrose metabolism	K11809
00520 Amino sugar and nucleotide sugar metabolism	K01183
09132 Signal transduction	04016 MAPK signaling pathway - plant
04016 MAPK signaling pathway - plant	K20547
00520 Amino sugar and nucleotide sugar metabolism	K13381
09160 Human Diseases	09175 Drug resistance: antimicrobial
09175 Drug resistance: antimicrobial	01501 beta-Lactam resistance
01501 beta-Lactam resistance	K01207
ko03110	K12373
00520 Amino sugar and nucleotide sugar metabolism	K18675
00520 Amino sugar and nucleotide sugar metabolism	K01452
00520 Amino sugar and nucleotide sugar metabolism	K01233
00520 Amino sugar and nucleotide sugar metabolism	K15855
ko02000	K02804
00520 Amino sugar and nucleotide sugar metabolism	K00884
00520 Amino sugar and nucleotide sugar metabolism	K01443
00520 Amino sugar and nucleotide sugar metabolism	K02564
ko02000	K02765
00520 Amino sugar and nucleotide sugar metabolism	K18676
09181 Protein families: metabolism	ko01002
ko01002	K00820
00520 Amino sugar and nucleotide sugar metabolism	K00621
00520 Amino sugar and nucleotide sugar metabolism	K01836
00520 Amino sugar and nucleotide sugar metabolism	K03431
00520 Amino sugar and nucleotide sugar metabolism	K18674
00541 O-Antigen nucleotide sugar biosynthesis	K04042
00520 Amino sugar and nucleotide sugar metabolism	K11528
00520 Amino sugar and nucleotide sugar metabolism	K00972
